segment,count,mean,std,min,25%,50%,75%,max
L,718.0,6496.31,101.91,5705.0,6490.5,6530.0,6533.0,7373.0
M,894.0,3590.08,107.93,3009.0,3606.0,3616.0,3651.0,3797.0
S,1553.0,1598.85,265.0,903.0,1302.0,1696.0,1772.0,3482.0
