country,n_sequences
China,768
South Korea,455
Russia,135
Argentina,105
Belgium,82
Russia: the Republic of Tatarstan,73
China: Jiangxi,69
USA,69
France,61
Russia: Saratov,56
South Korea: Jeju Island,45
Sweden,43
Germany,43
Argentina: Buenos Aires,38
"China: Yanbian, Jilin",33
Chile,31
China: Guizhou Province,30
China: Hubei province,28
USA: Washington State,27
China: Zhoushan,24
