target_scientific_name,L,M,S
Orthohantavirus andesense,6511.52,3631.09,1715.09
Orthohantavirus hantanense,6515.28,3592.97,1641.73
Orthohantavirus puumalaense,6502.74,3565.27,1510.79
Orthohantavirus seoulense,6465.04,3576.09,1637.13
Orthohantavirus sinnombreense,6487.94,3645.87,1753.91
