target_scientific_name,first_year,last_year,n_years_represented,n_sequences_with_year
Orthohantavirus andesense,1990,2026,18,88
Orthohantavirus hantanense,1982,2024,24,921
Orthohantavirus puumalaense,1986,2023,26,680
Orthohantavirus seoulense,1981,2025,33,749
Orthohantavirus sinnombreense,1994,2023,18,154
